! -----------------------------------------------------
! Lake Erie 2002-14
! Inflow (Detroit River)
! File prepared by LL
! -----------------------------------------------------
20  data sets																						   
0 seconds between data																						   
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	   
DAY	SALINITY	SSOL1	SSOL2	DO	PO4	DOPL	POPL	PIP	NH4	NO3	DONL	PONL	DOCL	POCL	SiO2	FDIAT	MDIAT	CRYPT	CHLOR	CYANO	   
2003319.000	0.013	11.7	0	8.60	0.00742	0.00053	0.00226	0.00172	0.05911	0.45861	0.09875	0.04232	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2003349.000	0.013	10.9	0	9.04	0.00726	0.00052	0.00394	0.00342	0.06394	0.43404	0.09797	0.04199	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004015.000	0.018	10.0	0	10.12	0.00711	0.00051	0.00562	0.00511	0.06877	0.40946	0.09719	0.04165	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004046.000	0.018	9.2	0	12.41	0.00695	0.00050	0.00730	0.00680	0.07360	0.38489	0.09641	0.04132	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004075.000	0.018	8.4	0	12.39	0.00679	0.00049	0.00898	0.00850	0.07843	0.36031	0.09563	0.04098	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004106.000	0.018	7.6	0	12.37	0.00664	0.00048	0.01067	0.01019	0.08326	0.33574	0.09485	0.04065	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004136.000	0.018	7.0	0	12.35	0.00576	0.00041	0.00920	0.00879	0.07281	0.49922	0.11254	0.04823	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004167.000	0.017	5.6	0	12.33	0.00515	0.00037	0.00491	0.00454	0.06444	0.39994	0.09493	0.04069	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004197.000	0.016	4.2	0	12.31	0.00487	0.00035	0.00313	0.00278	0.05869	0.30524	0.07893	0.03383	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004228.000	0.015	3.3	0	10.27	0.00494	0.00036	0.00367	0.00331	0.05517	0.29095	0.07464	0.03199	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004259.000	0.014	3.9	0	9.14	0.00538	0.00039	0.00415	0.00377	0.05413	0.33557	0.07935	0.03401	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004289.000	0.014	6.4	0	8.64	0.00620	0.00045	0.00298	0.00253	0.05546	0.38758	0.08651	0.03707	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004320.000	0.013	11.9	0	8.61	0.00747	0.00054	0.00232	0.00178	0.05927	0.46247	0.09942	0.04261	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2004350.000	0.013	11.0	0	9.07	0.00731	0.00053	0.00396	0.00344	0.06415	0.43412	0.09813	0.04206	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005015.000	0.018	10.2	0	10.17	0.00715	0.00051	0.00561	0.00509	0.06902	0.40578	0.09684	0.04150	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005046.000	0.018	9.3	0	12.52	0.00699	0.00050	0.00725	0.00675	0.07390	0.37743	0.09555	0.04095	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005074.000	0.018	8.5	0	12.50	0.00683	0.00049	0.00890	0.00841	0.07877	0.34908	0.09426	0.04040	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005105.000	0.018	7.6	0	12.47	0.00667	0.00048	0.01055	0.01006	0.08365	0.32073	0.09296	0.03984	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005135.000	0.018	7.1	0	12.45	0.00578	0.00042	0.00934	0.00893	0.07312	0.50000	0.11280	0.04834	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005166.000	0.017	5.7	0	12.43	0.00516	0.00037	0.00502	0.00465	0.06467	0.40399	0.09560	0.04097	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005196.000	0.016	4.2	0	12.41	0.00488	0.00035	0.00314	0.00279	0.05884	0.30718	0.07928	0.03398	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005227.000	0.015	3.3	0	10.32	0.00493	0.00035	0.00364	0.00328	0.05525	0.29020	0.07460	0.03197	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005258.000	0.014	3.8	0	9.16	0.00536	0.00039	0.00416	0.00378	0.05412	0.33380	0.07913	0.03391	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005288.000	0.014	6.3	0	8.65	0.00617	0.00044	0.03092	0.03047	0.05538	0.38588	0.08624	0.03696	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005319.000	0.013	11.7	0	8.60	0.00742	0.00053	0.00226	0.00172	0.05911	0.45861	0.09875	0.04232	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2005349.000	0.013	10.1	0	9.04	0.00714	0.00051	0.00251	0.00199	0.05169	0.44207	0.09439	0.04045	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006015.000	0.018	8.6	0	10.12	0.00685	0.00049	0.00275	0.00226	0.04426	0.42553	0.09004	0.03859	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006046.000	0.018	7.1	0	12.41	0.00657	0.00047	0.00300	0.00253	0.03684	0.40899	0.08569	0.03672	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006074.000	0.018	5.5	0	12.21	0.00628	0.00045	0.00325	0.00280	0.02942	0.39245	0.08134	0.03486	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006109.000	0.018	4.0	0	12.01	0.00600	0.00043	0.00350	0.00307	0.02200	0.37591	0.07699	0.03299	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006138.000	0.017	13.0	0	11.81	0.00500	0.00036	0.00350	0.00314	0.04000	0.49690	0.10415	0.04463	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006171.000	0.017	8.0	0	11.62	0.00600	0.00043	0.00450	0.00407	0.04700	0.38400	0.08568	0.03672	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006200.000	0.016	4.0	0	11.44	0.00300	0.00022	0.00550	0.00528	0.04300	0.30000	0.07378	0.03162	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006228.000	0.015	5.0	0	10.53	0.00200	0.00014	0.00800	0.00786	0.04000	0.29095	0.08189	0.03510	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006256.000	0.014	8.0	0	8.91	0.00400	0.00029	0.00700	0.00671	0.06500	0.33027	0.07550	0.03236	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006292.000	0.014	12.0	0	8.31	0.00200	0.00014	0.00700	0.00686	0.05200	0.39276	0.08677	0.03719	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006318.000	0.013	6.0	0	8.53	0.00400	0.00029	0.00400	0.00371	0.02400	0.45492	0.08945	0.03834	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2006349.000	0.013	5.8	0	9.20	0.00380	0.00027	0.00440	0.00413	0.02400	0.43660	0.08716	0.03736	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007015.000	0.018	5.6	0	11.19	0.00360	0.00026	0.00480	0.00454	0.02400	0.41827	0.08488	0.03638	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007046.000	0.018	5.4	0	12.00	0.00340	0.00024	0.00520	0.00496	0.02400	0.39995	0.08259	0.03540	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007074.000	0.018	5.2	0	12.14	0.00320	0.00023	0.00560	0.00537	0.02400	0.38163	0.08031	0.03442	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007108.000	0.018	5.0	0	12.28	0.00300	0.00022	0.00600	0.00578	0.02400	0.36330	0.07802	0.03344	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007129.000	0.018	3.0	0	12.42	0.00100	0.00007	0.00350	0.00343	0.02500	0.49829	0.09440	0.04046	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007171.000	0.017	7.0	0	12.56	0.00300	0.00022	0.00850	0.00828	0.06200	0.38400	0.08414	0.03606	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007199.000	0.016	9.0	0	12.71	0.00400	0.00029	0.00550	0.00521	0.04900	0.30165	0.07275	0.03118	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007234.000	0.015	6.0	0	10.51	0.00400	0.00029	0.00850	0.00821	0.04600	0.29674	0.07108	0.03046	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007262.000	0.014	2.0	0	8.75	0.00500	0.00036	0.00600	0.00564	0.12200	0.34091	0.08861	0.03797	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007298.000	0.014	7.0	0	8.79	0.00300	0.00022	0.00350	0.00328	0.11000	0.40363	0.09851	0.04222	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007318.000	0.013	11.0	0	8.93	0.00400	0.00029	0.00750	0.00721	0.04900	0.45492	0.09253	0.03966	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2007349.000	0.013	9.2	0	9.36	0.00400	0.00029	0.00710	0.00681	0.06620	0.44956	0.09713	0.04163	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008015.000	0.018	7.4	0	10.49	0.00400	0.00029	0.00670	0.00641	0.08340	0.44420	0.10172	0.04360	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008046.000	0.018	5.6	0	11.77	0.00400	0.00029	0.00630	0.00601	0.10060	0.43885	0.10632	0.04557	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008075.000	0.018	3.8	0	11.53	0.00400	0.00029	0.00590	0.00561	0.11780	0.43349	0.11092	0.04754	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008114.000	0.018	2.0	0	11.31	0.00400	0.00029	0.00550	0.00521	0.13500	0.42814	0.11552	0.04951	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008142.000	0.017	7.0	0	11.09	0.00100	0.00007	0.00750	0.00743	0.05800	0.48950	0.09569	0.04101	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008178.000	0.017	6.0	0	10.88	0.00600	0.00043	0.00250	0.00207	0.04900	0.35779	0.07067	0.03029	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008198.000	0.016	4.0	0	10.67	0.00700	0.00050	0.00200	0.00150	0.02100	0.30340	0.06110	0.02618	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008234.000	0.015	4.0	0	10.94	0.00100	0.00007	0.00550	0.00543	0.02500	0.29674	0.07570	0.03244	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008262.000	0.014	3.0	0	9.07	0.00600	0.00043	0.00250	0.00207	0.03700	0.34091	0.07629	0.03269	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008289.000	0.014	3.0	0	8.64	0.00500	0.00036	0.00400	0.00364	0.03400	0.38758	0.08338	0.03573	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008311.000	0.013	4.0	0	8.62	0.00700	0.00050	0.00050	0.00000	0.02900	0.43286	0.08804	0.03773	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2008350.000	0.013	8.0	0	9.19	0.00880	0.00063	0.00310	0.00247	0.05080	0.42815	0.09738	0.04173	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009015.000	0.018	12.0	0	10.04	0.01060	0.00076	0.00570	0.00494	0.07260	0.42345	0.10671	0.04573	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009046.000	0.018	16.0	0	11.19	0.01240	0.00089	0.00830	0.00741	0.09440	0.41874	0.11605	0.04974	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009074.000	0.018	20.0	0	11.32	0.01420	0.00102	0.01090	0.00988	0.11620	0.41403	0.12539	0.05374	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009112.000	0.018	24.0	0	11.45	0.01600	0.00115	0.01350	0.01235	0.13800	0.40932	0.13473	0.05774	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009133.000	0.018	11.0	0	11.59	0.00800	0.00058	0.01050	0.00992	0.12800	0.50069	0.12582	0.05392	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009155.000	0.017	4.0	0	11.72	0.00400	0.00029	0.00350	0.00321	0.14000	0.44811	0.10726	0.04597	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009203.000	0.016	2.0	0	11.86	0.01400	0.00101	0.00700	0.00599	0.12900	0.29564	0.10383	0.04450	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009230.000	0.015	0.0	0	10.45	0.00600	0.00043	0.00450	0.00407	0.12800	0.29265	0.09459	0.04054	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009252.000	0.015	1.0	0	10.06	0.00500	0.00036	0.00400	0.00364	0.08200	0.32332	0.09188	0.03938	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009288.000	0.014	15.0	0	8.84	0.00800	0.00058	0.01200	0.01142	0.18500	0.38588	0.11394	0.04883	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009308.000	0.013	8.0	0	8.27	0.01000	0.00072	0.00900	0.00828	0.14900	0.42506	0.10991	0.04710	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2009349.000	0.013	6.4	0	8.78	0.00920	0.00066	0.00840	0.00774	0.15660	0.40885	0.11005	0.04716	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010015.000	0.018	4.8	0	11.09	0.00840	0.00060	0.00780	0.00720	0.16420	0.39264	0.11019	0.04722	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010046.000	0.018	3.2	0	11.30	0.00760	0.00055	0.00720	0.00665	0.17180	0.37642	0.11032	0.04728	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010074.000	0.018	1.6	0	11.34	0.00680	0.00049	0.00660	0.00611	0.17940	0.36021	0.11046	0.04734	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010104.000	0.018	0.0	0	11.37	0.00600	0.00043	0.00600	0.00557	0.18700	0.34400	0.11060	0.04740	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010132.000	0.018	10.0	0	11.41	0.00500	0.00036	0.01300	0.01264	0.27000	0.33000	0.12460	0.05340	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010174.000	0.017	2.0	0	11.44	0.00500	0.00036	0.00900	0.00864	0.05900	0.27000	0.09100	0.03900	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010189.000	0.016	3.0	0	11.48	0.00700	0.00050	0.00700	0.00650	0.11500	0.26900	0.09100	0.03900	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010216.000	0.015	0.0	0	11.27	0.00700	0.00050	0.00100	0.00050	0.12600	0.23500	0.07840	0.03360	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010252.000	0.015	5.0	0	8.48	0.00600	0.00043	0.00750	0.00707	0.10800	0.31100	0.09100	0.03900	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010286.000	0.014	1.0	0	8.29	0.00600	0.00043	0.00250	0.00207	0.04300	0.23200	0.06020	0.02580	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010314.000	0.013	6.0	0	8.18	0.00600	0.00043	0.00100	0.00057	0.03700	0.29400	0.06860	0.02940	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2010349.000	0.013	6.3	0	9.29	0.00760	0.00055	0.01280	0.01225	0.04200	0.33460	0.08730	0.03742	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011015.000	0.018	6.6	0	9.98	0.00920	0.00066	0.02460	0.02394	0.04700	0.37520	0.10601	0.04543	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011046.000	0.018	6.9	0	11.86	0.01080	0.00078	0.03640	0.03562	0.05200	0.41580	0.12471	0.05345	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011074.000	0.018	7.2	0	11.77	0.01240	0.00089	0.04820	0.04731	0.05700	0.45640	0.14342	0.06146	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011118.000	0.018	7.5	0	11.69	0.01400	0.00101	0.06000	0.05899	0.06200	0.49700	0.16212	0.06948	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011146.000	0.017	19.0	0	11.61	0.00600	0.00043	0.01100	0.01057	0.03300	0.55500	0.11942	0.05118	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011166.000	0.017	8.0	0	11.52	0.00600	0.00043	0.00600	0.00557	0.03700	0.49000	0.09926	0.04254	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011194.000	0.016	6.0	0	11.44	0.00700	0.00050	0.00000	0.00000	0.02500	0.27700	0.06650	0.02850	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011234.000	0.015	3.0	0	10.05	0.00400	0.00029	0.00300	0.00271	0.02500	0.27300	0.07112	0.03048	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011264.000	0.014	6.0	0	9.34	0.00800	0.00058	0.00200	0.00142	0.03400	0.27600	0.06874	0.02946	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011297.000	0.014	21.0	0	8.45	0.01200	0.00086	0.00800	0.00714	0.03100	0.28200	0.07448	0.03192	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011312.000	0.013	4.0	0	8.52	0.00400	0.00029	0.00050	0.00021	0.01600	0.30800	0.06776	0.02904	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2011349.000	0.013	5.0	0	9.38	0.00400	0.00029	0.00090	0.00061	0.01440	0.31040	0.06754	0.02894	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012015.000	0.018	6.0	0	10.91	0.00400	0.00029	0.00130	0.00101	0.01280	0.31280	0.06731	0.02885	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012046.000	0.018	7.0	0	11.29	0.00400	0.00029	0.00170	0.00141	0.01120	0.31520	0.06709	0.02875	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012075.000	0.018	8.0	0	11.39	0.00400	0.00029	0.00210	0.00181	0.00960	0.31760	0.06686	0.02866	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012117.000	0.018	9.0	0	11.49	0.00400	0.00029	0.00250	0.00221	0.00800	0.32000	0.06664	0.02856	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012144.000	0.017	4.0	0	11.59	0.00350	0.00025	0.00219	0.00000	0.03000	0.29200	0.06804	0.02916	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012172.000	0.017	4.5	0	11.69	0.00300	0.00022	0.00400	0.00378	0.01400	0.31800	0.07490	0.03210	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012206.000	0.016	4.5	0	11.79	0.00500	0.00036	0.00200	0.00164	0.02600	0.22600	0.06286	0.02694	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012233.000	0.015	5.0	0	9.58	0.00400	0.00029	0.00050	0.00021	0.01900	0.21400	0.04942	0.02118	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012256.000	0.014	4.5	0	8.72	0.00300	0.00022	0.00350	0.00328	0.02800	0.20000	0.06174	0.02646	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012297.000	0.014	4.0	0	8.21	0.00300	0.00022	0.00450	0.00428	0.03000	0.25000	0.05978	0.02562	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012312.000	0.013	15.0	0	8.65	0.02100	0.00151	0.00650	0.00499	0.05900	0.28500	0.07532	0.03228	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2012350.000	0.013	12.8	0	8.86	0.01816	0.00131	0.00602	0.00471	0.05480	0.32304	0.08074	0.03460	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013015.000	0.018	10.6	0	10.66	0.01532	0.00110	0.00554	0.00444	0.05060	0.36109	0.08616	0.03693	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013046.000	0.018	8.4	0	12.61	0.01248	0.00090	0.00506	0.00416	0.04640	0.39913	0.09159	0.03925	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013074.000	0.018	6.2	0	12.45	0.00965	0.00069	0.00458	0.00388	0.04220	0.43718	0.09701	0.04157	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013120.000	0.018	4.0	0	12.29	0.00681	0.00049	0.00410	0.00361	0.03800	0.47522	0.10243	0.04390	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013140.000	0.017	5.0	0	12.13	0.00544	0.00039	0.00318	0.00279	0.02377	0.74176	0.13296	0.05698	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013164.000	0.017	3.0	0	11.97	0.00639	0.00046	0.00116	0.00070	0.03228	0.44190	0.09213	0.03948	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013183.000	0.016	0.0	0	11.82	0.00568	0.00041	0.00186	0.00145	0.06205	0.25243	0.06606	0.02831	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013227.000	0.015	2.0	0	9.95	0.00710	0.00051	0.00050	0.00000	0.02736	0.25475	0.06140	0.02631	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013248.000	0.015	2.0	0	9.64	0.00416	0.00030	0.00307	0.00277	0.02904	0.22735	0.05667	0.02429	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013287.000	0.014	5.0	0	8.98	0.00487	0.00035	0.00121	0.00086	0.05105	0.29139	0.07162	0.03069	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013309.000	0.013	21.0	0	8.97	0.00728	0.00052	0.00421	0.00369	0.02013	0.29665	0.06784	0.02907	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2013349.000	0.013	18.3	0	8.64	0.00716	0.00052	0.00548	0.00496	0.03284	0.30147	0.07287	0.03123	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
2014015.000	0.018	15.6	0	9.66	0.00704	0.00051	0.00674	0.00624	0.04554	0.30628	0.07789	0.03338	1.74159	0.2	0.566	0.34	2.45	0.48	0.07	0.07
