!-----------------------------------------------------																				
!Lake Erie 2002-14																		
!Inflow	(Maumee	River)																		
!File prepared by LL																	
!-----------------------------------------------------																				
22	data	sets																			
0	seconds	between	data																		
2002035.167	1165.31	0.10	0.068	210.770	0.000	14.551	0.091	0.007	0.207	0.201	0.020	6.02	1.393	0.597	2.000	0.200	9.949	0.100	0.720	0.140	0.020	0.020
2002035.500	1020.67	0.10	0.068	197.770	0.000	14.551	0.101	0.007	0.186	0.178	0.020	5.95	1.079	0.462	2.000	0.200	7.705	0.100	0.720	0.140	0.020	0.020
2002035.833	930.61	0.10	0.068	180.720	0.000	14.551	0.100	0.007	0.180	0.172	0.020	6.02	1.052	0.451	2.000	0.200	7.516	0.100	0.720	0.140	0.020	0.020
2002036.167	786.29	0.10	0.068	156.490	0.000	14.551	0.107	0.008	0.166	0.158	0.020	6.12	1.068	0.458	2.000	0.200	7.630	0.100	0.720	0.140	0.020	0.020
2002036.500	706.54	0.10	0.068	142.510	0.000	14.551	0.106	0.008	0.158	0.150	0.020	6.15	1.127	0.483	2.000	0.200	8.049	0.100	0.720	0.140	0.020	0.020
2002036.833	589.01	0.10	0.068	115.150	0.000	14.551	0.104	0.007	0.146	0.138	0.020	6.34	1.108	0.475	2.000	0.200	7.914	0.100	0.720	0.140	0.020	0.020
2002037.167	516.09	0.10	0.068	120.320	0.000	14.551	0.104	0.007	0.130	0.122	0.020	6.35	1.089	0.467	2.000	0.200	7.777	0.100	0.720	0.140	0.020	0.020
2002037.500	468.37	0.10	0.068	105.300	0.000	14.551	0.099	0.007	0.123	0.116	0.020	6.46	1.083	0.464	2.000	0.200	7.732	0.100	0.720	0.140	0.020	0.020
2002037.833	418.24	1.67	0.068	102.440	0.000	13.949	0.100	0.007	0.114	0.107	0.020	6.27	1.046	0.448	2.000	0.200	7.472	0.100	0.720	0.140	0.020	0.020
2002038.167	392.75	0.50	0.068	90.097	0.000	14.394	0.096	0.007	0.113	0.106	0.020	6.14	1.052	0.451	2.000	0.200	7.515	0.100	0.720	0.140	0.020	0.020
2002038.500	366.50	0.10	0.068	91.339	0.000	14.551	0.098	0.007	0.105	0.098	0.020	6.24	1.043	0.447	2.000	0.200	7.452	0.100	0.720	0.140	0.020	0.020
2002039.500	283.49	0.10	0.068	84.620	0.000	14.551	0.096	0.007	0.096	0.089	0.020	5.91	1.001	0.429	2.000	0.200	7.153	0.100	0.720	0.140	0.020	0.020
2002040.500	197.37	0.10	0.068	60.203	0.000	14.551	0.095	0.007	0.076	0.070	0.020	5.65	0.965	0.414	2.000	0.200	6.896	0.100	0.720	0.140	0.020	0.020
2002041.500	164.13	1.92	0.068	39.116	0.000	13.857	0.088	0.006	0.060	0.054	0.020	5.82	0.955	0.409	2.000	0.200	6.819	0.100	0.720	0.140	0.020	0.020
2002042.167	143.86	0.10	0.068	59.354	0.000	14.551	0.079	0.006	0.068	0.062	0.020	5.40	0.896	0.384	2.000	0.200	6.403	0.100	0.720	0.140	0.020	0.020
2002042.500	131.92	0.10	0.068	50.650	0.000	14.551	0.063	0.005	0.082	0.078	0.020	4.87	0.848	0.364	2.000	0.200	6.061	0.100	0.720	0.140	0.020	0.020
2002043.500	132.83	1.90	0.068	60.677	0.000	13.864	0.061	0.004	0.074	0.070	0.020	5.15	0.872	0.374	2.000	0.200	6.230	0.100	0.720	0.140	0.020	0.020
2002044.500	130.13	0.10	0.068	38.521	0.000	14.551	0.056	0.004	0.051	0.047	0.020	5.10	0.841	0.361	2.000	0.200	6.011	0.100	0.720	0.140	0.020	0.020
2002045.500	129.24	0.10	0.068	35.934	0.000	14.551	0.055	0.004	0.040	0.036	0.020	4.88	0.819	0.351	2.000	0.200	5.850	0.100	0.720	0.140	0.020	0.020
2002046.500	111.15	0.10	0.068	42.052	0.000	14.551	0.050	0.004	0.034	0.030	0.020	5.13	0.826	0.354	2.000	0.200	5.897	0.100	0.720	0.140	0.020	0.020
2002047.500	91.25	0.10	0.068	48.454	0.000	14.551	0.043	0.003	0.036	0.033	0.020	4.96	0.800	0.343	2.000	0.200	5.711	0.100	0.720	0.140	0.020	0.020
2002048.500	82.72	0.10	0.068	20.066	0.000	14.551	0.039	0.003	0.023	0.020	0.020	4.82	0.781	0.335	2.000	0.200	5.579	0.100	0.720	0.140	0.020	0.020
2002049.167	73.53	0.10	0.068	14.666	0.000	14.551	0.042	0.003	0.020	0.017	0.020	4.84	0.795	0.341	2.000	0.200	5.679	0.100	0.720	0.140	0.020	0.020
2002049.500	76.01	0.10	0.068	15.907	0.000	14.551	0.041	0.003	0.022	0.019	0.020	5.08	0.830	0.356	2.000	0.200	5.931	0.100	0.720	0.140	0.020	0.020
2002050.500	65.72	0.10	0.068	14.933	0.000	14.551	0.033	0.002	0.025	0.022	0.020	4.98	0.788	0.338	2.000	0.200	5.630	0.100	0.720	0.140	0.020	0.020
2002051.500	68.04	3.98	0.068	14.586	0.000	13.126	0.037	0.003	0.021	0.019	0.020	4.88	0.760	0.326	2.000	0.200	5.431	0.100	0.720	0.140	0.020	0.020
2002052.500	152.40	1.94	0.068	97.435	0.000	13.849	0.036	0.003	0.089	0.087	0.020	6.80	1.094	0.469	2.000	0.200	7.814	0.100	0.720	0.140	0.020	0.020
2002053.500	216.16	0.85	0.068	75.931	0.000	14.259	0.038	0.003	0.089	0.086	0.020	6.48	1.049	0.450	2.000	0.200	7.495	0.100	0.720	0.140	0.020	0.020
2002054.500	193.06	0.10	0.068	39.978	0.000	14.551	0.036	0.003	0.047	0.045	0.020	5.97	0.946	0.405	2.000	0.200	6.755	0.100	0.720	0.140	0.020	0.020
2002055.500	145.74	0.10	0.068	28.306	0.000	14.551	0.034	0.002	0.036	0.034	0.020	5.82	0.919	0.394	2.000	0.200	6.564	0.100	0.720	0.140	0.020	0.020
2002056.167	130.13	4.24	0.068	25.741	0.000	13.037	0.033	0.002	0.039	0.037	0.020	6.04	0.973	0.417	2.000	0.200	6.953	0.100	0.720	0.140	0.020	0.020
2002056.500	117.90	2.10	0.068	41.249	0.000	13.791	0.037	0.003	0.043	0.040	0.020	6.14	0.977	0.419	2.000	0.200	6.981	0.100	0.720	0.140	0.020	0.020
2002057.500	112.80	0.87	0.068	28.647	0.000	14.251	0.038	0.003	0.040	0.037	0.020	6.13	0.972	0.417	2.000	0.200	6.945	0.100	0.720	0.140	0.020	0.020
2002058.500	134.65	0.10	0.068	39.789	0.000	14.551	0.040	0.003	0.047	0.044	0.020	6.81	1.068	0.458	2.000	0.200	7.626	0.100	0.720	0.140	0.020	0.020
2002059.500	119.61	0.10	0.068	39.580	0.000	14.551	0.041	0.003	0.050	0.047	0.020	6.67	1.055	0.452	2.000	0.200	7.533	0.100	0.720	0.140	0.020	0.020
2002060.500	113.62	0.10	0.068	20.777	0.000	14.551	0.040	0.003	0.034	0.031	0.020	6.45	1.010	0.433	2.000	0.200	7.212	0.100	0.720	0.140	0.020	0.020
2002061.500	101.39	0.66	0.068	15.575	0.000	14.332	0.027	0.002	0.029	0.027	0.020	6.06	0.935	0.401	2.000	0.200	6.680	0.100	0.720	0.140	0.020	0.020
2002062.167	160.16	3.95	0.068	90.496	0.000	13.136	0.029	0.002	0.073	0.071	0.020	5.90	0.936	0.401	2.000	0.200	6.686	0.100	0.720	0.140	0.020	0.020
2002062.500	336.73	1.26	0.068	204.950	0.000	14.103	0.036	0.003	0.150	0.147	0.020	6.12	1.035	0.444	2.000	0.200	7.395	0.100	0.720	0.140	0.020	0.020
2002062.833	460.44	0.10	0.068	107.560	0.000	14.551	0.041	0.003	0.097	0.094	0.020	5.97	0.976	0.418	2.000	0.200	6.969	0.100	0.720	0.140	0.020	0.020
2002063.167	514.42	0.10	0.068	296.860	0.000	14.551	0.047	0.003	0.229	0.225	0.020	5.80	1.063	0.456	2.000	0.200	7.593	0.100	0.720	0.140	0.020	0.020
2002063.500	529.74	0.10	0.068	383.020	0.000	14.551	0.040	0.003	0.243	0.240	0.020	5.44	1.009	0.432	2.000	0.200	7.208	0.100	0.720	0.140	0.020	0.020
2002064.500	415.24	0.10	0.068	339.460	0.000	14.551	0.050	0.004	0.262	0.259	0.020	6.01	1.138	0.488	2.000	0.200	8.128	0.100	0.720	0.140	0.020	0.020
2002064.833	362.16	0.36	0.068	265.610	0.000	14.449	0.052	0.004	0.228	0.224	0.020	6.00	1.131	0.485	2.000	0.200	8.076	0.100	0.720	0.140	0.020	0.020
2002065.167	319.06	0.92	0.068	242.130	0.000	14.233	0.045	0.003	0.201	0.198	0.020	6.01	1.087	0.466	2.000	0.200	7.766	0.100	0.720	0.140	0.020	0.020
2002065.500	288.70	2.57	0.068	229.100	0.000	13.620	0.047	0.003	0.191	0.188	0.020	5.88	1.087	0.466	2.000	0.200	7.765	0.100	0.720	0.140	0.020	0.020
2002065.833	257.27	4.93	0.068	184.780	0.000	12.809	0.058	0.004	0.156	0.152	0.020	5.78	1.017	0.436	2.000	0.200	7.263	0.100	0.720	0.140	0.020	0.020
2002066.167	229.89	2.87	0.068	155.740	0.000	13.514	0.059	0.004	0.140	0.136	0.020	6.01	1.023	0.438	2.000	0.200	7.306	0.100	0.720	0.140	0.020	0.020
2002066.500	221.81	0.10	0.068	124.740	0.000	14.551	0.066	0.005	0.131	0.126	0.020	6.16	1.038	0.445	2.000	0.200	7.413	0.100	0.720	0.140	0.020	0.020
2002067.500	184.58	3.02	0.068	93.061	0.000	13.460	0.061	0.004	0.109	0.104	0.020	6.60	1.069	0.458	2.000	0.200	7.635	0.100	0.720	0.140	0.020	0.020
2002068.500	168.11	5.50	0.068	55.491	0.000	12.622	0.058	0.004	0.079	0.075	0.020	6.31	1.010	0.433	2.000	0.200	7.214	0.100	0.720	0.140	0.020	0.020
2002068.833	233.36	7.37	0.068	195.870	0.000	12.042	0.050	0.004	0.129	0.126	0.020	6.02	0.998	0.428	2.000	0.200	7.127	0.100	0.720	0.140	0.020	0.020
2002069.167	265.91	0.10	0.068	220.330	0.000	14.551	0.057	0.004	0.176	0.172	0.020	5.83	1.022	0.438	2.000	0.200	7.303	0.100	0.720	0.140	0.020	0.020
2002069.500	345.06	0.10	0.068	197.850	0.000	14.551	0.051	0.004	0.156	0.152	0.020	6.02	1.045	0.448	2.000	0.200	7.465	0.100	0.720	0.140	0.020	0.020
2002069.833	343.67	0.10	0.068	207.960	0.000	14.551	0.046	0.003	0.176	0.173	0.020	6.15	1.083	0.464	2.000	0.200	7.736	0.100	0.720	0.140	0.020	0.020
2002070.167	345.06	0.10	0.068	222.210	0.000	14.551	0.045	0.003	0.184	0.181	0.020	5.97	1.048	0.449	2.000	0.200	7.483	0.100	0.720	0.140	0.020	0.020
2002070.500	338.12	0.10	0.068	372.240	0.000	14.551	0.043	0.003	0.248	0.245	0.020	5.92	1.140	0.489	2.000	0.200	8.145	0.100	0.720	0.140	0.020	0.020
2002070.833	327.22	1.03	0.068	231.310	0.000	14.191	0.063	0.005	0.266	0.262	0.020	5.67	1.108	0.475	2.000	0.200	7.912	0.100	0.720	0.140	0.020	0.020
2002071.167	313.62	1.72	0.068	162.480	0.000	13.931	0.059	0.004	0.195	0.191	0.020	5.74	1.041	0.446	2.000	0.200	7.439	0.100	0.720	0.140	0.020	0.020
2002071.500	291.31	0.68	0.068	349.730	0.000	14.324	0.049	0.004	0.162	0.158	0.020	5.52	0.982	0.421	2.000	0.200	7.014	0.100	0.720	0.140	0.020	0.020
2002071.833	260.96	2.88	0.068	267.510	0.000	13.508	0.051	0.004	0.140	0.136	0.020	5.35	0.953	0.408	2.000	0.200	6.804	0.100	0.720	0.140	0.020	0.020
2002072.167	246.36	2.51	0.068	137.380	0.000	13.640	0.042	0.003	0.127	0.123	0.020	5.01	0.888	0.381	2.000	0.200	6.343	0.100	0.720	0.140	0.020	0.020
2002072.500	229.89	1.41	0.068	133.600	0.000	14.046	0.043	0.003	0.119	0.116	0.020	5.12	0.891	0.382	2.000	0.200	6.361	0.100	0.720	0.140	0.020	0.020
2002072.833	212.77	5.76	0.068	114.670	0.000	12.539	0.051	0.004	0.112	0.108	0.020	5.22	0.905	0.388	2.000	0.200	6.466	0.100	0.720	0.140	0.020	0.020
2002073.167	197.37	4.77	0.068	94.759	0.000	12.861	0.052	0.004	0.102	0.099	0.020	5.34	0.937	0.401	2.000	0.200	6.691	0.100	0.720	0.140	0.020	0.020
2002073.500	183.53	1.33	0.068	92.307	0.000	14.077	0.049	0.004	0.099	0.095	0.020	5.48	0.978	0.419	2.000	0.200	6.988	0.100	0.720	0.140	0.020	0.020
2002074.500	155.30	6.33	0.068	82.296	0.000	12.359	0.056	0.004	0.086	0.082	0.020	5.50	0.967	0.415	2.000	0.200	6.910	0.100	0.720	0.140	0.020	0.020
2002075.500	155.30	0.10	0.068	57.465	0.000	14.551	0.058	0.004	0.071	0.067	0.020	5.15	0.903	0.387	2.000	0.200	6.449	0.100	0.720	0.140	0.020	0.020
2002076.500	133.74	2.70	0.068	64.300	0.000	13.573	0.053	0.004	0.066	0.062	0.020	4.57	0.813	0.348	2.000	0.200	5.804	0.100	0.720	0.140	0.020	0.020
2002077.167	136.47	4.84	0.068	37.942	0.000	12.837	0.049	0.004	0.054	0.050	0.020	4.44	0.776	0.333	2.000	0.200	5.543	0.100	0.720	0.140	0.020	0.020
2002077.500	126.59	3.64	0.068	40.105	0.000	13.243	0.015	0.001	0.065	0.064	0.020	4.90	0.811	0.348	2.000	0.200	5.792	0.100	0.720	0.140	0.020	0.020
2002078.500	84.47	2.62	0.068	39.785	0.000	13.602	0.024	0.002	0.053	0.051	0.020	4.92	0.814	0.349	2.000	0.200	5.816	0.100	0.720	0.140	0.020	0.020
2002079.500	111.97	4.57	0.068	35.191	0.000	12.927	0.022	0.002	0.048	0.046	0.020	4.68	0.772	0.331	2.000	0.200	5.516	0.100	0.720	0.140	0.020	0.020
2002080.500	76.01	2.68	0.068	34.731	0.000	13.581	0.028	0.002	0.042	0.040	0.020	4.62	0.777	0.333	2.000	0.200	5.551	0.100	0.720	0.140	0.020	0.020
2002081.500	67.27	0.10	0.068	36.984	0.000	14.551	0.022	0.002	0.048	0.047	0.020	4.67	0.793	0.340	2.000	0.200	5.662	0.100	0.720	0.140	0.020	0.020
2002082.500	63.48	0.10	0.068	54.002	0.000	14.551	0.017	0.001	0.050	0.049	0.020	4.03	0.688	0.295	2.000	0.200	4.912	0.100	0.720	0.140	0.020	0.020
2002083.500	52.85	0.10	0.068	23.472	0.000	14.551	0.008	0.001	0.040	0.039	0.020	4.49	0.764	0.327	2.000	0.200	5.454	0.100	0.720	0.140	0.020	0.020
2002084.500	62.75	0.10	0.068	45.903	0.000	14.551	0.019	0.001	0.040	0.039	0.020	4.31	0.723	0.310	2.000	0.200	5.165	0.100	0.720	0.140	0.020	0.020
2002085.167	67.27	0.10	0.068	25.534	0.000	14.551	0.009	0.001	0.037	0.036	0.020	3.85	0.630	0.270	2.000	0.200	4.503	0.100	0.720	0.140	0.020	0.020
2002092.167	1076.52	5.82	0.068	220.130	0.000	12.521	0.065	0.005	0.077	0.072	0.020	5.80	1.040	0.446	2.000	0.200	7.431	0.100	0.720	0.140	0.020	0.020
2002092.500	977.34	6.24	0.068	185.410	0.000	12.387	0.068	0.005	0.181	0.176	0.020	5.90	1.022	0.438	2.000	0.200	7.300	0.100	0.720	0.140	0.020	0.020
2002092.833	889.18	8.89	0.068	181.370	0.000	11.601	0.072	0.005	0.180	0.174	0.020	6.20	1.064	0.456	2.000	0.200	7.603	0.100	0.720	0.140	0.020	0.020
2002093.167	859.11	3.60	0.068	172.840	0.000	13.256	0.074	0.005	0.171	0.166	0.020	6.34	1.089	0.467	2.000	0.200	7.778	0.100	0.720	0.140	0.020	0.020
2002093.500	891.36	1.70	0.068	168.400	0.000	13.938	0.073	0.005	0.173	0.168	0.020	6.52	1.132	0.485	2.000	0.200	8.083	0.100	0.720	0.140	0.020	0.020
2002093.833	842.14	2.50	0.068	194.780	0.000	13.645	0.072	0.005	0.188	0.183	0.020	6.30	1.106	0.474	2.000	0.200	7.898	0.100	0.720	0.140	0.020	0.020
2002094.167	765.90	2.70	0.068	196.790	0.000	13.573	0.070	0.005	0.192	0.187	0.020	6.20	1.063	0.456	2.000	0.200	7.593	0.100	0.720	0.140	0.020	0.020
2002094.500	720.22	0.10	0.068	169.410	0.000	14.551	0.071	0.005	0.175	0.169	0.020	6.15	1.050	0.450	2.000	0.200	7.499	0.100	0.720	0.140	0.020	0.020
2002094.833	658.79	0.81	0.068	143.110	0.000	14.276	0.072	0.005	0.166	0.161	0.020	6.21	1.052	0.451	2.000	0.200	7.515	0.100	0.720	0.140	0.020	0.020
2002095.167	590.77	1.20	0.068	131.900	0.000	14.127	0.069	0.005	0.156	0.151	0.020	6.14	1.035	0.444	2.000	0.200	7.396	0.100	0.720	0.140	0.020	0.020
2002095.500	581.99	0.10	0.068	128.250	0.000	14.551	0.068	0.005	0.148	0.143	0.020	6.00	0.999	0.428	2.000	0.200	7.134	0.100	0.720	0.140	0.020	0.020
2002095.833	548.74	1.30	0.068	115.850	0.000	14.088	0.069	0.005	0.135	0.130	0.020	5.90	0.974	0.417	2.000	0.200	6.955	0.100	0.720	0.140	0.020	0.020
2002096.167	496.18	0.10	0.068	84.857	0.000	14.551	0.068	0.005	0.131	0.126	0.020	5.84	0.977	0.419	2.000	0.200	6.975	0.100	0.720	0.140	0.020	0.020
2002096.500	439.82	0.10	0.068	88.136	0.000	14.551	0.072	0.005	0.128	0.122	0.020	5.91	1.005	0.431	2.000	0.200	7.177	0.100	0.720	0.140	0.020	0.020
2002096.833	404.73	1.00	0.068	112.360	0.000	14.201	0.075	0.005	0.125	0.119	0.020	5.82	1.030	0.442	2.000	0.200	7.358	0.100	0.720	0.140	0.020	0.020
2002097.833	306.94	3.60	0.068	168.750	0.000	13.258	0.065	0.005	0.122	0.117	0.020	5.77	0.983	0.421	2.000	0.200	7.018	0.100	0.720	0.140	0.020	0.020
2002098.167	291.31	5.80	0.068	60.325	0.000	12.526	0.066	0.005	0.116	0.111	0.020	5.76	0.977	0.419	2.000	0.200	6.981	0.100	0.720	0.140	0.020	0.020
2002098.500	257.27	5.90	0.068	91.283	0.000	12.494	0.072	0.005	0.111	0.106	0.020	5.93	0.988	0.423	2.000	0.200	7.057	0.100	0.720	0.140	0.020	0.020
2002098.833	279.70	6.69	0.068	132.210	0.000	12.247	0.067	0.005	0.128	0.123	0.020	5.84	0.995	0.426	2.000	0.200	7.104	0.100	0.720	0.140	0.020	0.020
