ISOTime,Flow
15/01/2089 00:00:00,4346.20000
16/01/2089 00:00:00,4104.50000
17/01/2089 00:00:00,3673.70000
18/01/2089 00:00:00,3680.30000
19/01/2089 00:00:00,3845.80000
20/01/2089 00:00:00,3901.40000
21/01/2089 00:00:00,3869.40000
22/01/2089 00:00:00,3764.20000
23/01/2089 00:00:00,3894.40000
24/01/2089 00:00:00,3961.90000
25/01/2089 00:00:00,3978.70000
26/01/2089 00:00:00,3969.20000
27/01/2089 00:00:00,3746.50000
28/01/2089 00:00:00,3792.10000
29/01/2089 00:00:00,3845.90000
30/01/2089 00:00:00,3849.00000
31/01/2089 00:00:00,3967.60000
01/02/2089 00:00:00,3914.30000
02/02/2089 00:00:00,3746.90000
03/02/2089 00:00:00,3914.80000
04/02/2089 00:00:00,3960.80000
05/02/2089 00:00:00,4079.10000
06/02/2089 00:00:00,4198.60000
07/02/2089 00:00:00,4028.80000
08/02/2089 00:00:00,3901.20000
09/02/2089 00:00:00,4270.40000
10/02/2089 00:00:00,4600.00000
11/02/2089 00:00:00,4750.10000
12/02/2089 00:00:00,5314.40000
13/02/2089 00:00:00,6951.70000
14/02/2089 00:00:00,8361.10000
15/02/2089 00:00:00,7902.30000
16/02/2089 00:00:00,6998.00000
17/02/2089 00:00:00,6375.20000
18/02/2089 00:00:00,5904.80000
19/02/2089 00:00:00,5560.70000
20/02/2089 00:00:00,5791.20000
21/02/2089 00:00:00,5259.50000
22/02/2089 00:00:00,4655.80000
23/02/2089 00:00:00,4923.70000
24/02/2089 00:00:00,4716.60000
25/02/2089 00:00:00,4590.80000
26/02/2089 00:00:00,4530.30000
27/02/2089 00:00:00,4607.70000
28/02/2089 00:00:00,4915.10000
01/03/2089 00:00:00,5205.30000
02/03/2089 00:00:00,5405.50000
03/03/2089 00:00:00,4976.10000
04/03/2089 00:00:00,4931.50000
05/03/2089 00:00:00,4853.20000
06/03/2089 00:00:00,4777.90000
07/03/2089 00:00:00,4716.20000
08/03/2089 00:00:00,4965.70000
09/03/2089 00:00:00,5331.30000
10/03/2089 00:00:00,7354.80000
11/03/2089 00:00:00,7336.60000
12/03/2089 00:00:00,8220.90000
13/03/2089 00:00:00,8125.00000
14/03/2089 00:00:00,7070.00000
15/03/2089 00:00:00,6451.10000
16/03/2089 00:00:00,6020.30000
17/03/2089 00:00:00,5712.40000
18/03/2089 00:00:00,5440.10000
19/03/2089 00:00:00,5222.80000
20/03/2089 00:00:00,5216.80000
21/03/2089 00:00:00,5119.80000
22/03/2089 00:00:00,4926.60000
23/03/2089 00:00:00,5014.80000
24/03/2089 00:00:00,4723.90000
25/03/2089 00:00:00,4464.60000
26/03/2089 00:00:00,4521.40000
27/03/2089 00:00:00,4842.80000
28/03/2089 00:00:00,4761.90000
29/03/2089 00:00:00,4894.50000
30/03/2089 00:00:00,4716.20000
31/03/2089 00:00:00,5071.80000
01/04/2089 00:00:00,4660.60000
02/04/2089 00:00:00,4619.50000
03/04/2089 00:00:00,4777.20000
04/04/2089 00:00:00,4992.40000
05/04/2089 00:00:00,5215.50000
06/04/2089 00:00:00,5171.90000
07/04/2089 00:00:00,5872.00000
08/04/2089 00:00:00,6362.70000
09/04/2089 00:00:00,5999.70000
10/04/2089 00:00:00,5601.80000
11/04/2089 00:00:00,5551.80000
12/04/2089 00:00:00,5439.90000
13/04/2089 00:00:00,5184.30000
14/04/2089 00:00:00,4891.50000
15/04/2089 00:00:00,4875.80000
16/04/2089 00:00:00,5547.40000
17/04/2089 00:00:00,5604.70000
18/04/2089 00:00:00,5385.20000
19/04/2089 00:00:00,5105.20000
20/04/2089 00:00:00,4681.70000
21/04/2089 00:00:00,4688.00000
22/04/2089 00:00:00,4940.80000
23/04/2089 00:00:00,5431.30000
24/04/2089 00:00:00,5324.90000
25/04/2089 00:00:00,4803.30000
26/04/2089 00:00:00,4671.80000
27/04/2089 00:00:00,4953.60000
28/04/2089 00:00:00,4625.70000
29/04/2089 00:00:00,5166.00000
30/04/2089 00:00:00,4917.40000
01/05/2089 00:00:00,4986.40000
02/05/2089 00:00:00,5309.90000
03/05/2089 00:00:00,5242.40000
04/05/2089 00:00:00,5261.60000
05/05/2089 00:00:00,5211.80000
06/05/2089 00:00:00,4909.50000
07/05/2089 00:00:00,4793.60000
08/05/2089 00:00:00,4757.40000
09/05/2089 00:00:00,4883.70000
10/05/2089 00:00:00,4911.40000
11/05/2089 00:00:00,4993.40000
12/05/2089 00:00:00,4918.90000
13/05/2089 00:00:00,4883.50000
14/05/2089 00:00:00,4483.00000
15/05/2089 00:00:00,4626.50000
16/05/2089 00:00:00,5053.60000
17/05/2089 00:00:00,4981.60000
18/05/2089 00:00:00,5031.60000
19/05/2089 00:00:00,4825.10000
20/05/2089 00:00:00,4589.60000
21/05/2089 00:00:00,4740.70000
22/05/2089 00:00:00,4777.30000
23/05/2089 00:00:00,4852.70000
24/05/2089 00:00:00,4575.60000
25/05/2089 00:00:00,4825.00000
26/05/2089 00:00:00,4644.70000
27/05/2089 00:00:00,4778.00000
28/05/2089 00:00:00,5134.70000
29/05/2089 00:00:00,5065.70000
30/05/2089 00:00:00,5213.20000
31/05/2089 00:00:00,4983.30000
01/06/2089 00:00:00,4948.40000
02/06/2089 00:00:00,4798.70000
03/06/2089 00:00:00,4925.30000
04/06/2089 00:00:00,4970.90000
05/06/2089 00:00:00,4936.30000
06/06/2089 00:00:00,4931.70000
07/06/2089 00:00:00,4932.90000
08/06/2089 00:00:00,4788.50000
09/06/2089 00:00:00,4634.80000
10/06/2089 00:00:00,4861.10000
11/06/2089 00:00:00,4665.90000
12/06/2089 00:00:00,4765.60000
13/06/2089 00:00:00,4889.60000
14/06/2089 00:00:00,4761.60000
15/06/2089 00:00:00,4828.20000
16/06/2089 00:00:00,4900.00000
17/06/2089 00:00:00,4898.00000
18/06/2089 00:00:00,4819.10000
19/06/2089 00:00:00,4827.20000
20/06/2089 00:00:00,4764.90000
21/06/2089 00:00:00,5311.50000
22/06/2089 00:00:00,5234.90000
23/06/2089 00:00:00,5320.70000
24/06/2089 00:00:00,5175.70000
25/06/2089 00:00:00,4994.90000
26/06/2089 00:00:00,4878.00000
27/06/2089 00:00:00,4992.90000
28/06/2089 00:00:00,4948.20000
29/06/2089 00:00:00,4889.40000
30/06/2089 00:00:00,4678.10000
01/07/2089 00:00:00,4874.00000
02/07/2089 00:00:00,4646.70000
03/07/2089 00:00:00,4766.50000
04/07/2089 00:00:00,4791.80000
05/07/2089 00:00:00,4736.10000
06/07/2089 00:00:00,4783.50000
07/07/2089 00:00:00,4829.20000
08/07/2089 00:00:00,4798.40000
09/07/2089 00:00:00,4743.00000
10/07/2089 00:00:00,4788.90000
11/07/2089 00:00:00,4834.40000
12/07/2089 00:00:00,4844.00000
13/07/2089 00:00:00,4659.40000
14/07/2089 00:00:00,4792.00000
15/07/2089 00:00:00,4669.90000
16/07/2089 00:00:00,4574.40000
17/07/2089 00:00:00,4785.50000
18/07/2089 00:00:00,4736.30000
19/07/2089 00:00:00,4765.70000
20/07/2089 00:00:00,4662.60000
21/07/2089 00:00:00,4663.10000
22/07/2089 00:00:00,4637.80000
23/07/2089 00:00:00,4687.10000
24/07/2089 00:00:00,4676.50000
25/07/2089 00:00:00,4649.30000
26/07/2089 00:00:00,4575.40000
27/07/2089 00:00:00,4614.00000
28/07/2089 00:00:00,4717.40000
29/07/2089 00:00:00,4509.50000
30/07/2089 00:00:00,4740.70000
31/07/2089 00:00:00,4673.00000
01/08/2089 00:00:00,4721.50000
02/08/2089 00:00:00,4466.30000
03/08/2089 00:00:00,4783.70000
04/08/2089 00:00:00,4313.20000
05/08/2089 00:00:00,4640.20000
